Título,Fecha,Formato,idTutor,Tutor,Instit_Tutor,idRevisor,Revisor,Instit_Revisor,Nota
Importancia del vínculo de las familias de niños y niñas sordos con la escuela especial Nº197 Ana Bruzzone de Scarone para personas sordas y con trastornos del lenguaje,07/04/2014,Pre-proyecto de investigación,8911,Maria Jose Bagnato Nuñez,Instituto de Fundamentos y Métodos en Psicología,8859,Jorge Fernando Salvo Spinatelli,Instituto de Fundamentos y Métodos en Psicología,11
Apego y discapacidad,11/09/2014,Monografía,8967,Patricia Beatriz De La Cuesta Dossetti,Instituto de Psicologìa Social,9259,Laura Dutrenit,Instituto de Psicologìa Social,10
Entrenamiento mental en deportistas del Triathlon Ironman Punta del Este.,15/09/2014,Pre-proyecto de investigación,8859,Jorge Fernando Salvo Spinatelli,Instituto de Fundamentos y Métodos en Psicología,8856,Jorge Cohen Bonomo,Instituto de Fundamentos y Métodos en Psicología,11
"Vinculando Necesidades Humanas, TIC, Educación y Contexto. Estudio de Caso, Escuela Nº 113, Migues. El uso de las XO y su relación con las necesidades humanas superiores.",15/09/2014,Pre-proyecto de investigación,8820,Gabriela Ines Bañuls Campomar,"Instituto de Psicología, Educación y Desarrollo Humano",8778,Claudia Lema Gleizer,"Instituto de Psicología, Educación y Desarrollo Humano",8
Habilidades psicológicas que influyen en el rendimiento deportivo.,15/09/2014,Monografía,8859,Jorge Fernando Salvo Spinatelli,Instituto de Fundamentos y Métodos en Psicología,8915,Maria Patricia Dominguez Perez,Instituto de Psicología Clínica,10
"La fobia social, un acercamiento psicológico desde el enfoque cognitivo-conductual",16/09/2014,Monografía,8825,Gabriela Prieto Loureiro,Instituto de Psicología Clínica,8743,Ana Luz Protesoni Vitancurt,Instituto de Psicología Clínica,9
Rehabilitación psicosocial en esquizofrenia Importancia de la familia durante el proceso de intervención,16/09/2014,Monografía,8825,Gabriela Prieto Loureiro,Instituto de Psicología Clínica,8915,Maria Patricia Dominguez Perez,Instituto de Psicología Clínica,8
La XO como mediadora en los procesos de inclusión educativa de niños con Trastorno del Espectro Autista,16/09/2014,Pre-proyecto de investigación,8933,Monica Elena Da Silva Ramos,Instituto de Fundamentos y Métodos en Psicología,8751,Andrea Jimena Viera Gomez,"Instituto de Psicología, Educación y Desarrollo Humano",9
Pando. Cuna de Rock,16/09/2014,Pre-proyecto de investigación,8805,Enrico Irrazabal Juanicotenea,Instituto de Psicologìa Social,8823,Gabriela Etcheverry Catalogne,Instituto de Psicología Social,10
Cuando el abuso se devela. Intervenciones desde el primer nivel de atención,16/09/2014,Monografía,8736,Alicia Cristina Muniz Martoy,Instituto de Psicología Clínica,8994,Silvana Beatriz Contino Nigro,Instituto de Psicología Clínica,11
Las prácticas docentes en tiempos de nuevas ruralidades,16/09/2014,Pre-proyecto de investigación,8785,Daniela Carolina Diaz Santos,Instituto de Psicología de la Salud,8933,Monica Elena Da Silva Ramos,Instituto de Fundamentos y Métodos en Psicología,10
rehabilitación y esquizofrenia,17/09/2014,Monografía,8825,Gabriela Prieto Loureiro,Instituto de Psicología Clínica,8727,Maria Gutierrez,Instituto de Psicología Clínica,4
La recuperación psíquica: una posible mirada a través del arte,17/09/2014,Pre-proyecto de investigación,8727,Maria Gutierrez,Instituto de Psicología Clínica,8825,Gabriela Prieto Loureiro,Instituto de Psicología Clínica,10
Importancia de la Rehabilitación Psicosocial con Pacientes Psicóticos,17/09/2014,Monografía,8727,Maria Gutierrez,Instituto de Psicología Clínica,8913,Maria De Las Mercedes Couso Lingeri,Instituto de Psicología Clínica,10
El cuerpo en Psicoanálisis,17/09/2014,Monografía,8817,Flora Ana Singer Sztajnic,Instituto de Psicología Clínica,8953,Maria Nelly Rodriguez Ricciuto,Instituto de Psicología Clínica,10
Estudio sobre la prevención familiar en el uso problemático de drogas: análisis de diferentes programas.,17/09/2014,Monografía,8892,Luis Emilio Gimenez Guralnik,Instituto de Psicología de la Salud,8905,Maria Alejandra Arias Lozano,Instituto de Psicología de la Salud,10
Prevención del consumo problemático de marihuana en adolescentes en el contexto actual de nuestro país,17/09/2014,Monografía,8773,Ana Cecilia Marotta Mendez,Instituto de Psicologìa Social,8863,Juan Enrique Fernandez Romar,Instituto de Psicologìa Social,11
Las dificultades de aprendizaje: una revisión desde la perspectiva psicoanalítica,17/09/2014,Monografía,8943,Maria Vilacoba,Instituto de Psicología de la Salud,8953,Maria Nelly Rodriguez Ricciuto,Instituto de Psicología Clínica,12
Intervención inmediata en situaciones de desastres: Primeros auxilios psicológicos,17/09/2014,Artículo científico,8833,Graciela Ines Loarche Guerra,Instituto de Psicología de la Salud,8905,Maria Alejandra Arias Lozano,Instituto de Psicología de la Salud,6
Ajedrez y desarrollo cognitivo: Análisis del desempeño de niños en una prueba de ajedrez.,18/09/2014,Artículo científico,8867,Karen Adriana Moreira Tricot,Instituto de Fundamentos y Métodos en Psicología,8778,Claudia Lema Gleizer,"Instituto de Psicología, Educación y Desarrollo Humano",9
Educación Bilingüe en Edad Escolar. Beneficios de la inclusión de LSU,18/09/2014,Pre-proyecto de investigación,8876,Leonardo Peluso Crespi,"Instituto de Psicología, Educación y Desarrollo Humano",8856,Jorge Cohen Bonomo,Instituto de Fundamentos y Métodos en Psicología,10
"Autismo, Comunicación y Educación Especial",18/09/2014,Monografía,8876,Leonardo Peluso Crespi,"Instituto de Psicología, Educación y Desarrollo Humano",8856,Jorge Cohen Bonomo,Instituto de Fundamentos y Métodos en Psicología,9
"Sordos. Historia, medicalización y presente",18/09/2014,Monografía,8876,Leonardo Peluso Crespi,"Instituto de Psicología, Educación y Desarrollo Humano",8856,Jorge Cohen Bonomo,Instituto de Fundamentos y Métodos en Psicología,10
Mobbing: incidencias sobre la salud y la organización,18/09/2014,Artículo científico,8996,Silvia Virginia Franco Velazquez,Instituto de Psicologìa Social,9002,Tommy Constantino Wittke Tallar,Instituto de Psicologìa Social,8
PERCEPCIONES DE LOS TRABAJADORES ANTE LA IMPLEMENTACIÓN DE PROCESOS DE CAMBIO ORGANIZACIONAL. ESTUDIO DE CASO DE UNA EMPRESA DE GRAN PORTE EN EL URUGUAY,18/09/2014,Pre-proyecto de investigación,8894,Luis Victor Leopold Costabile,Instituto de Psicología Social,8996,Silvia Virginia Franco Velazquez,Instituto de Psicologìa Social,9
"¿Qué Psicología, para qué Políticas Públicas? Un análisis crítico del quehacer de la Psicología en el Campo de las Políticas Públicas.",18/09/2014,Monografía,8860,Jose Eduardo Viera Paparamborda,Instituto de Psicologìa de la Salud,8839,Gustavo Daniel Conde Rosito,Instituto de Psicología de la Salud,5
El factor cultural en la sobrecarga de los cuidadores de personas con Demencia y las limitaciones transculturales de la ZBI,18/09/2014,Monografía,8973,Elbio Robert Perez Fernandez,Instituto de Psicologìa Social,8934,Monica Sandra Llado Olivera,Instituto de Psicologìa Social,12
Migraciones Internas: Un movimiento del desarraigo al rearraigo,19/09/2014,Monografía,8858,Jorge Maceiras Besnati,Instituto de Psicologìa Social,8823,Gabriela Etcheverry Catalogne,Instituto de Psicología Social,12
